rank,prev_rank,name,league,off,def,spi
434,434,Emmen,Dutch Eredivisie,1.16,1.75,33.13
435,435,Orlando Pirates,South African ABSA Premier League,0.94,1.46,33.09
436,437,VfL Bochum,German 2. Bundesliga,1.07,1.64,33.04
437,438,KSC Lokeren,Belgian Jupiler League,1.04,1.61,32.86
438,439,Western Sydney FC,Australian A-League,1.19,1.82,32.69
439,485,Almeria,Spanish Segunda Division,0.84,1.34,32.65
440,440,Clermont Foot,French Ligue 2,0.86,1.38,32.63
441,442,Albacete,Spanish Segunda Division,0.92,1.47,32.47
442,458,Osasuna,Spanish Segunda Division,0.78,1.28,32.36
443,441,1. FC Heidenheim 1846,German 2. Bundesliga,1.03,1.63,32.25
444,443,Perth Glory,Australian A-League,1.22,1.88,32.13
445,416,Arizona United,United Soccer League,1.11,1.74,32.07
446,444,FC St. Pauli,German 2. Bundesliga,1.0,1.59,32.07
447,445,Benevento,Italy Serie B,1.01,1.61,32.05
448,446,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,1.11,1.75,31.99
449,448,Chicago Fire,Major League Soccer,1.14,1.79,31.87
450,427,Vancouver Whitecaps,Major League Soccer,1.23,1.91,31.78
451,450,Brisbane Roar,Australian A-League,1.05,1.68,31.76
452,463,New York Red Bulls II,United Soccer League,1.49,2.26,31.72
453,451,Esbjerg,Danish SAS-Ligaen,0.93,1.51,31.71
454,452,Perugia,Italy Serie B,1.0,1.62,31.67
455,453,Verona,Italy Serie B,0.99,1.61,31.66
456,454,1. FC Magdeburg,German 2. Bundesliga,0.98,1.6,31.64
457,456,SV Darmstadt 98,German 2. Bundesliga,0.99,1.62,31.52
458,457,Neuchatel Xamax,Swiss Raiffeisen Super League,1.09,1.76,31.36
459,447,Mallorca,Spanish Segunda Division,0.92,1.53,31.32
460,436,Minnesota United FC,Major League Soccer,1.22,1.93,31.26
461,468,Fleetwood Town,English League One,0.99,1.63,31.14
462,459,Foggia,Italy Serie B,1.07,1.75,31.08
463,460,Vissel Kobe,Japanese J League,0.99,1.64,31.01
464,461,Adelaide United,Australian A-League,1.05,1.73,30.85
465,462,NAC,Dutch Eredivisie,1.15,1.87,30.79
466,471,Portsmouth,English League One,0.96,1.61,30.76
467,464,Brescia,Italy Serie B,1.0,1.67,30.76
468,465,Tromso,Norwegian Tippeligaen,1.15,1.88,30.66
469,466,MSV Duisburg,German 2. Bundesliga,1.1,1.81,30.62
470,469,Larissa,Greek Super League,0.75,1.34,30.29
471,470,Bethlehem Steel FC,United Soccer League,1.04,1.75,30.17
472,472,AC Horsens,Danish SAS-Ligaen,0.97,1.67,29.97
473,474,Cittadella,Italy Serie B,0.87,1.54,29.9
474,475,Levadiakos,Greek Super League,0.75,1.38,29.66
475,467,Cadiz,Spanish Segunda Division,0.74,1.36,29.53
476,476,Randers FC,Danish SAS-Ligaen,0.97,1.7,29.51
477,477,San Jose Earthquakes,Major League Soccer,1.18,1.99,29.47
478,478,Jubilo Iwata,Japanese J League,0.98,1.73,29.31
479,479,OFI Crete,Greek Super League,0.98,1.73,29.3
480,480,SpVgg Greuther Fürth,German 2. Bundesliga,0.88,1.59,29.19
481,481,Lamia,Greek Super League,0.74,1.39,29.15
482,482,SV Sandhausen,German 2. Bundesliga,0.81,1.49,29.1
483,473,Pittsburgh Riverhounds,United Soccer League,0.8,1.48,29.09
484,491,Numancia,Spanish Segunda Division,0.78,1.46,28.87
485,483,Mouscron-Peruwelz,Belgian Jupiler League,0.94,1.7,28.67
486,486,F.B.C Unione Venezia,Italy Serie B,0.84,1.56,28.64
487,487,Paris FC,French Ligue 2,0.69,1.35,28.54
488,488,Ranheim,Norwegian Tippeligaen,1.07,1.91,28.35
489,489,Apollon Smyrni,Greek Super League,0.72,1.41,28.3
490,484,Sacramento Republic FC,United Soccer League,0.78,1.5,28.17
491,494,Orléans,French Ligue 2,0.97,1.79,27.92
492,495,Livingston,Scottish Premiership,0.78,1.51,27.9
493,492,Orlando City SC,Major League Soccer,1.07,1.95,27.78
494,490,Real Oviedo,Spanish Segunda Division,0.82,1.61,27.48
495,517,Carolina Railhawks,United Soccer League,1.15,2.09,27.35
496,496,IF Elfsborg,Swedish Allsvenskan,0.9,1.72,27.34
497,497,Lecce,Italy Serie B,0.89,1.72,27.28
498,493,Tenerife,Spanish Segunda Division,0.81,1.6,27.26
499,498,SuperSport United,South African ABSA Premier League,0.71,1.45,27.16
500,499,Spezia,Italy Serie B,0.8,1.59,27.13
501,520,Southend United,English League One,0.85,1.67,27.07
502,501,Bodo/Glimt,Norwegian Tippeligaen,0.86,1.69,26.84
503,502,De Graafschap,Dutch Eredivisie,0.96,1.85,26.81
504,503,Erzgebirge Aue,German 2. Bundesliga,0.82,1.65,26.71
505,533,Charleston Battery,United Soccer League,0.77,1.58,26.69
506,518,Extremadura UD,Spanish Segunda Division,0.9,1.78,26.45
507,504,Salernitana,Italy Serie B,0.75,1.57,26.28
508,505,Vendsyssel,Danish SAS-Ligaen,0.89,1.77,26.25
509,506,Cremonese,Italy Serie B,0.74,1.55,26.25
510,507,Blackpool,English League One,0.74,1.55,26.24
511,513,Luton Town,English League One,0.95,1.87,26.23
512,508,Vejle,Danish SAS-Ligaen,0.78,1.62,26.21
513,509,Charlton Athletic,English League One,0.91,1.83,25.99
514,510,V-Varen Nagasaki,Japanese J League,0.93,1.85,25.98
515,511,Niort,French Ligue 2,0.84,1.73,25.82
516,512,Stabaek,Norwegian Tippeligaen,1.05,2.05,25.74
517,514,Hobro IK,Danish SAS-Ligaen,1.07,2.08,25.63
518,525,Portland Timbers 2,United Soccer League,0.98,1.95,25.63
519,515,Lillestrom,Norwegian Tippeligaen,0.88,1.8,25.6
520,516,Maritzburg Utd,South African ABSA Premier League,0.58,1.33,25.6
521,521,Polokwane City FC,South African ABSA Premier League,0.62,1.42,25.31
522,500,Scunthorpe,English League One,1.05,2.08,25.25
523,526,Rayo Majadahonda,Spanish Segunda Division,0.77,1.68,25.09
524,540,Nashville SC,United Soccer League,0.74,1.63,24.92
525,534,Doncaster Rovers,English League One,0.84,1.79,24.87
526,522,IFK Goteborg,Swedish Allsvenskan,1.01,2.05,24.86
527,523,US Pescara,Italy Serie B,0.79,1.73,24.68
528,519,Indy Eleven,United Soccer League,0.83,1.8,24.62
529,555,Lincoln City,English League Two,0.86,1.83,24.55
530,529,AC Ajaccio,French Ligue 2,0.68,1.57,24.44
531,532,Lugo,Spanish Segunda Division,0.67,1.56,24.42
532,530,Grenoble,French Ligue 2,0.75,1.68,24.36
533,531,Kalmar FF,Swedish Allsvenskan,0.67,1.56,24.28
534,542,Colorado Rapids,Major League Soccer,0.84,1.84,24.0
535,562,Swope Park Rangers,United Soccer League,0.95,2.04,23.72
536,524,Cordoba,Spanish Segunda Division,0.97,2.07,23.7
537,543,Reus Deportiu,Spanish Segunda Division,0.58,1.46,23.55
538,552,Accrington Stanley,English League One,0.75,1.74,23.55
539,548,Real Monarchs SLC,United Soccer League,0.97,2.09,23.33
540,537,Milton Keynes Dons,English League Two,0.67,1.63,23.26
541,538,Wellington Phoenix,Australian A-League,0.92,2.03,23.17
542,541,Black Aces,South African ABSA Premier League,0.64,1.61,22.7
543,535,Saint Louis FC,United Soccer League,0.67,1.68,22.43
544,528,Elche,Spanish Segunda Division,0.73,1.78,22.33
545,545,Bloem Celtic,South African ABSA Premier League,0.52,1.44,22.33
546,544,Oklahoma City Energy FC,United Soccer League,0.73,1.79,22.26
547,547,Auxerre,French Ligue 2,0.71,1.77,22.24
548,549,Sochaux,French Ligue 2,0.64,1.65,22.21
549,550,Golden Arrows,South African ABSA Premier League,0.54,1.47,22.17
550,546,Shrewsbury Town,English League One,0.58,1.55,22.07
551,551,IK Sirius,Swedish Allsvenskan,1.0,2.23,21.99
552,527,LA Galaxy II,United Soccer League,1.21,2.56,21.96
553,536,Fresno FC,United Soccer League,0.66,1.72,21.64
554,553,Ascoli,Italy Serie B,0.57,1.58,21.53
555,554,IK Start,Norwegian Tippeligaen,0.75,1.88,21.48
556,539,Gimnástic Tarragona,Spanish Segunda Division,0.69,1.77,21.46
557,565,Burton Albion,English League One,0.69,1.79,21.23
558,556,Motherwell,Scottish Premiership,0.72,1.85,21.22
559,557,AmaZulu,South African ABSA Premier League,0.62,1.67,21.21
560,561,Beziers AS,French Ligue 2,0.63,1.72,20.83
561,574,Exeter City,English League Two,0.74,1.91,20.77
562,563,Sandefjord,Norwegian Tippeligaen,0.83,2.05,20.76
563,564,Walsall,English League One,0.64,1.75,20.76
564,568,Oldham Athletic,English League Two,0.72,1.9,20.45
565,573,Coventry City,English League One,0.59,1.68,20.45
566,559,San Antonio FC,United Soccer League,0.79,2.02,20.41
567,569,Chateauroux,French Ligue 2,0.61,1.74,20.27
568,570,Valenciennes,French Ligue 2,0.91,2.23,20.26
569,566,Rochdale,English League One,0.86,2.14,20.2
570,558,Wycombe Wanderers,English League One,0.73,1.95,20.18
571,571,Chippa United,South African ABSA Premier League,0.52,1.58,20.09
572,572,St Johnstone,Scottish Premiership,0.76,2.01,20.05
573,567,Tampa Bay Rowdies,United Soccer League,0.64,1.81,19.84
574,575,Free State Stars,South African ABSA Premier League,0.51,1.6,19.67
575,576,Cosenza,Italy Serie B,0.64,1.83,19.6
576,577,Carpi,Italy Serie B,0.55,1.67,19.56
577,578,Central Coast Mariners,Australian A-League,0.79,2.09,19.4
578,579,Red Star FC 93,French Ligue 2,0.7,1.96,19.21
579,560,Gillingham,English League One,0.75,2.06,19.06
