rank,prev_rank,name,league,off,def,spi
109,109,Viktoria Plzen,UEFA Champions League,1.89,1.19,61.05
110,110,Trabzonspor,Turkish Turkcell Super Lig,1.97,1.27,61.02
111,111,Anderlecht,Belgian Jupiler League,1.74,1.07,60.83
112,112,Fulham,Barclays Premier League,1.74,1.09,60.57
113,113,West Bromwich Albion,English League Championship,1.83,1.16,60.5
114,114,Angers,French Ligue 1,1.51,0.89,60.43
115,116,Fenerbahce,Turkish Turkcell Super Lig,1.75,1.11,60.24
116,117,Basel,Swiss Raiffeisen Super League,2.04,1.37,60.12
117,118,Hannover 96,German Bundesliga,1.76,1.12,60.11
118,119,Burnley,Barclays Premier League,1.64,1.03,59.88
119,120,Stoke City,English League Championship,1.69,1.07,59.85
120,121,AIK,Swedish Allsvenskan,1.51,0.91,59.81
121,122,Huddersfield Town,Barclays Premier League,1.45,0.88,59.37
122,123,Strasbourg,French Ligue 1,1.55,0.97,59.22
123,124,Bordeaux,French Ligue 1,1.49,0.93,59.16
124,145,Atlético Paranaense,Brasileiro Série A,1.51,0.94,59.11
125,125,Genoa,Italy Serie A,1.67,1.08,59.06
126,126,Nantes,French Ligue 1,1.5,0.94,59.01
127,127,Cardiff City,Barclays Premier League,1.56,0.99,58.96
128,128,Club América,Mexican Primera Division Torneo Apertura,1.62,1.05,58.93
129,129,SC Freiburg,German Bundesliga,1.69,1.12,58.77
130,130,Celtic,Scottish Premiership,1.58,1.02,58.72
131,115,Atletico Mineiro,Brasileiro Série A,1.62,1.06,58.64
132,131,Dinamo Zagreb,UEFA Europa League,1.54,0.99,58.6
133,132,Udinese,Italy Serie A,1.52,0.98,58.54
134,133,AZ,Dutch Eredivisie,1.98,1.4,58.23
135,134,Toulouse,French Ligue 1,1.48,0.95,58.2
136,135,Middlesbrough,English League Championship,1.41,0.89,58.16
137,136,Tigres UANL,Mexican Primera Division Torneo Apertura,1.45,0.93,57.96
138,137,Cagliari,Italy Serie A,1.55,1.03,57.88
139,138,Brentford,English League Championship,1.58,1.06,57.81
140,139,Dijon FCO,French Ligue 1,1.57,1.05,57.74
141,140,Spal,Italy Serie A,1.5,0.99,57.59
142,141,Racing Club,Argentina Primera Division,1.51,1.0,57.57
143,142,Empoli,Italy Serie A,1.53,1.02,57.49
144,143,Guingamp,French Ligue 1,1.52,1.03,57.26
145,146,Kawasaki Frontale,Japanese J League,1.46,0.99,56.95
146,144,Santos,Brasileiro Série A,1.31,0.84,56.91
147,148,BK Hacken,Swedish Allsvenskan,1.73,1.24,56.72
148,149,Sheffield United,English League Championship,1.49,1.03,56.57
149,150,1. FC Nürnberg,German Bundesliga,1.55,1.09,56.41
150,151,Malmo FF,Swedish Allsvenskan,1.59,1.13,56.35
151,152,Leeds United,English League Championship,1.46,1.01,56.33
152,153,FC Astana,UEFA Europa League,1.66,1.2,56.25
153,154,Rubin Kazan,Russian Premier Liga,1.31,0.87,56.2
154,155,Bologna,Italy Serie A,1.43,0.99,56.07
155,156,Fortuna Düsseldorf,German Bundesliga,1.58,1.13,55.97
156,147,Cruzeiro,Brasileiro Série A,1.29,0.87,55.91
157,157,Beijing Guoan,Chinese Super League,1.84,1.38,55.81
158,158,Caen,French Ligue 1,1.41,0.99,55.61
159,159,Reims,French Ligue 1,1.35,0.94,55.31
160,160,Vitesse,Dutch Eredivisie,1.7,1.27,55.26
161,161,Rostov,Russian Premier Liga,1.13,0.75,55.03
162,162,Nimes,French Ligue 1,1.52,1.12,54.91
163,163,Monterrey,Mexican Primera Division Torneo Apertura,1.49,1.09,54.91
164,164,Parma,Italy Serie A,1.52,1.16,54.16
165,165,CA Independiente,Argentina Primera Division,1.38,1.03,54.05
166,166,Atlanta United FC,Major League Soccer,1.67,1.31,53.79
167,167,Atromitos,Greek Super League,1.26,0.91,53.79
168,168,Panathinaikos,Greek Super League,1.42,1.08,53.74
169,170,Bahía,Brasileiro Série A,1.33,0.99,53.71
170,169,Jablonec,UEFA Europa League,1.43,1.09,53.67
171,171,Kasimpasa,Turkish Turkcell Super Lig,1.83,1.51,53.04
172,172,Amiens,French Ligue 1,1.32,1.01,53.02
173,173,Swansea City,English League Championship,1.43,1.12,52.94
174,174,Aston Villa,English League Championship,1.47,1.16,52.83
175,175,Cruz Azul,Mexican Primera Division Torneo Apertura,1.37,1.06,52.78
176,176,Chievo Verona,Italy Serie A,1.49,1.19,52.68
177,177,Santos Laguna,Mexican Primera Division Torneo Apertura,1.54,1.25,52.46
178,178,Urawa Red Diamonds,Japanese J League,1.59,1.3,52.33
179,180,Brondby,Danish SAS-Ligaen,1.8,1.51,52.25
180,181,LASK Linz,Austrian T-Mobile Bundesliga,1.31,1.03,52.2
181,182,KAA Gent,Belgian Jupiler League,1.61,1.35,51.54
182,213,Sporting Kansas City,Major League Soccer,1.52,1.27,51.3
183,179,Fluminense,Brasileiro Série A,1.26,1.02,51.29
184,183,Konyaspor,Turkish Turkcell Super Lig,1.47,1.24,51.06
185,201,Vasco da Gama,Brasileiro Série A,1.36,1.12,51.06
186,184,Toluca,Mexican Primera Division Torneo Apertura,1.43,1.2,51.01
187,191,Corinthians,Brasileiro Série A,1.18,0.95,50.97
188,185,Kashima Antlers,Japanese J League,1.51,1.29,50.87
189,186,Rangers,Scottish Premiership,1.78,1.56,50.8
190,187,New York Red Bulls,Major League Soccer,1.52,1.3,50.79
191,188,Birmingham,English League Championship,1.35,1.13,50.72
192,189,Pachuca,Mexican Primera Division Torneo Apertura,1.4,1.18,50.69
193,190,Rosenborg,Norwegian Tippeligaen,1.44,1.22,50.68
194,193,FC Cologne,German 2. Bundesliga,1.63,1.42,50.48
195,194,Rapid Vienna,Austrian T-Mobile Bundesliga,1.39,1.19,50.37
196,195,Derby County,English League Championship,1.31,1.11,50.36
197,196,Bristol City,English League Championship,1.36,1.16,50.33
198,197,Union Santa Fe,Argentina Primera Division,1.18,0.97,50.33
199,198,Dinamo Moscow,Russian Premier Liga,1.19,0.99,50.24
200,199,Norwich City,English League Championship,1.33,1.13,50.13
201,200,Melbourne Victory,Australian A-League,1.64,1.46,50.04
202,202,Defensa y Justicia,Argentina Primera Division,1.25,1.07,49.95
203,203,IFK Norrkoping,Swedish Allsvenskan,1.41,1.23,49.86
204,204,Antwerp,Belgian Jupiler League,1.31,1.13,49.79
205,192,Botafogo,Brasileiro Série A,1.29,1.11,49.75
206,205,FC Zurich,Swiss Raiffeisen Super League,1.26,1.08,49.75
207,206,Vorskla,UEFA Europa League,1.3,1.12,49.6
208,207,Guimaraes,Portuguese Liga,1.34,1.17,49.52
209,208,Frosinone,Italy Serie A,1.42,1.25,49.51
210,209,Östersunds FK,Swedish Allsvenskan,1.48,1.31,49.45
211,211,Sydney FC,Australian A-League,1.55,1.4,49.29
212,212,Gazovik Orenburg,Russian Premier Liga,1.25,1.09,49.23
213,214,Molde,Norwegian Tippeligaen,1.68,1.53,49.19
214,215,Thun,Swiss Raiffeisen Super League,1.69,1.55,49.07
215,216,New York City FC,Major League Soccer,1.47,1.33,49.04
216,217,Millwall,English League Championship,1.4,1.26,48.87
217,218,BATE Borisov,UEFA Europa League,1.45,1.31,48.82
218,219,FC Luzern,Swiss Raiffeisen Super League,1.55,1.42,48.79
219,220,Preston North End,English League Championship,1.38,1.24,48.76
220,221,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.53,1.41,48.75
221,226,Ceará,Brasileiro Série A,1.18,1.04,48.74
222,222,Velez Sarsfield,Argentina Primera Division,1.24,1.11,48.46
223,223,Guadalajara,Mexican Primera Division Torneo Apertura,1.33,1.21,48.44
224,224,Terek Grozny,Russian Premier Liga,1.19,1.06,48.41
225,225,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.31,1.2,48.12
226,258,Deportivo La Coruña,Spanish Segunda Division,1.35,1.25,48.02
227,227,Tijuana,Mexican Primera Division Torneo Apertura,1.27,1.17,47.92
228,228,KV Kortrijk,Belgian Jupiler League,1.43,1.33,47.9
229,229,St. Truidense,Belgian Jupiler League,1.25,1.16,47.82
230,230,FC Arsenal Tula,Russian Premier Liga,1.33,1.23,47.77
231,231,Pumas Unam,Mexican Primera Division Torneo Apertura,1.39,1.31,47.59
232,210,Chapecoense AF,Brasileiro Série A,1.22,1.12,47.56
233,233,Jiangsu Suning FC,Chinese Super League,1.31,1.23,47.49
234,232,Málaga,Spanish Segunda Division,1.21,1.12,47.43
235,234,KV Oostende,Belgian Jupiler League,1.46,1.38,47.43
236,235,Rio Ave,Portuguese Liga,1.27,1.19,47.36
237,236,Shandong Luneng,Chinese Super League,1.44,1.37,47.31
238,237,Asteras Tripolis,Greek Super League,1.15,1.08,47.08
239,238,Goztepe,Turkish Turkcell Super Lig,1.34,1.28,47.0
240,239,FC Sion,Swiss Raiffeisen Super League,1.59,1.56,46.82
241,240,Nottingham Forest,English League Championship,1.32,1.27,46.81
242,241,Hibernian,Scottish Premiership,1.55,1.51,46.8
243,242,León,Mexican Primera Division Torneo Apertura,1.37,1.33,46.76
244,243,FK Qarabag,UEFA Europa League,1.29,1.25,46.52
245,244,Necaxa,Mexican Primera Division Torneo Apertura,1.25,1.21,46.47
246,245,FC Nordsjaelland,Danish SAS-Ligaen,1.46,1.43,46.46
247,246,Apollon Limassol,UEFA Europa League,1.3,1.27,46.38
248,247,Sheffield Wednesday,English League Championship,1.38,1.36,46.21
249,248,Akhisar Belediye,Turkish Turkcell Super Lig,1.34,1.32,46.0
250,249,Talleres de Córdoba,Argentina Primera Division,1.15,1.12,45.89
251,250,FC Ufa,Russian Premier Liga,1.09,1.06,45.82
252,251,Vitoria Setubal,Portuguese Liga,1.17,1.16,45.57
253,252,Heerenveen,Dutch Eredivisie,1.74,1.78,45.46
254,253,San Lorenzo,Argentina Primera Division,1.18,1.18,45.38
255,254,Changchun Yatai,Chinese Super League,1.45,1.48,45.36
256,255,Metz,French Ligue 2,1.42,1.45,45.22
257,257,Huracán,Argentina Primera Division,1.15,1.16,45.16
258,256,FC Cincinnati,United Soccer League,1.59,1.64,45.11
259,259,Chaves,Portuguese Liga,1.26,1.28,45.0
260,260,Columbus Crew,Major League Soccer,1.25,1.28,44.91
261,261,Godoy Cruz,Argentina Primera Division,1.16,1.18,44.78
262,262,Portimonense,Portuguese Liga,1.41,1.46,44.65
263,263,Queens Park Rangers,English League Championship,1.25,1.29,44.61
264,264,FC Xanthi,Greek Super League,0.98,0.99,44.51
265,265,Alanyaspor,Turkish Turkcell Super Lig,1.33,1.38,44.49
266,266,Seattle Sounders FC,Major League Soccer,1.3,1.36,44.44
267,267,Mamelodi Sundowns,South African ABSA Premier League,1.19,1.23,44.41
268,268,Slavia Prague,UEFA Europa League,1.1,1.13,44.35
269,269,Argentinos Juniors,Argentina Primera Division,1.01,1.04,44.32
270,270,Hull City,English League Championship,1.26,1.32,44.19
271,271,Yokohama F. Marinos,Japanese J League,1.6,1.69,44.12
272,272,AEK Larnaca,UEFA Europa League,1.11,1.16,44.01
273,274,Toronto FC,Major League Soccer,1.52,1.61,43.97
274,273,Ural Sverdlovsk Oblast,Russian Premier Liga,1.19,1.26,43.91
275,275,St. Pölten,Austrian T-Mobile Bundesliga,1.23,1.3,43.85
276,276,Morelia,Mexican Primera Division Torneo Apertura,1.33,1.42,43.84
277,277,Sivasspor,Turkish Turkcell Super Lig,1.47,1.57,43.83
278,278,Colon Santa Fe,Argentina Primera Division,1.12,1.18,43.8
279,280,Sporting de Charleroi,Belgian Jupiler League,1.28,1.36,43.68
280,281,Brest,French Ligue 2,1.31,1.4,43.62
281,282,Hebei China Fortune FC,Chinese Super League,1.34,1.43,43.6
282,283,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.23,1.32,43.41
283,284,Nagoya Grampus Eight,Japanese J League,1.72,1.86,43.37
284,293,Los Angeles FC,Major League Soccer,1.46,1.59,43.19
285,285,Shanghai Greenland,Chinese Super League,1.31,1.43,43.17
286,286,Hamburg SV,German 2. Bundesliga,1.28,1.39,43.16
287,287,Estudiantes,Argentina Primera Division,1.05,1.13,43.06
288,288,Boavista,Portuguese Liga,1.12,1.22,43.02
289,289,Waasland-Beveren,Belgian Jupiler League,1.32,1.45,43.01
290,290,Santa Clara,Portuguese Liga,1.26,1.38,42.98
291,291,Belenenses,Portuguese Liga,1.1,1.19,42.94
292,292,Antalyaspor,Turkish Turkcell Super Lig,1.31,1.45,42.77
293,295,Querétaro,Mexican Primera Division Torneo Apertura,1.16,1.27,42.57
294,296,Banfield,Argentina Primera Division,1.04,1.14,42.48
295,297,Melbourne City,Australian A-League,1.34,1.49,42.47
296,294,FC Dallas,Major League Soccer,1.27,1.41,42.43
297,325,América Mineiro,Brasileiro Série A,1.03,1.14,42.35
298,298,Wigan,English League Championship,1.22,1.36,42.33
299,300,FC Utrecht,Dutch Eredivisie,1.35,1.51,42.29
300,301,Cerezo Osaka,Japanese J League,1.17,1.31,42.26
301,327,Vítoria,Brasileiro Série A,1.19,1.33,42.16
302,302,Blackburn,English League Championship,1.22,1.36,42.1
303,303,Bursaspor,Turkish Turkcell Super Lig,1.03,1.15,42.1
304,304,Heracles,Dutch Eredivisie,1.72,1.94,42.01
305,305,Portland Timbers,Major League Soccer,1.37,1.54,41.93
306,299,Louisville City FC,United Soccer League,1.48,1.67,41.89
307,306,Shimizu S-Pulse,Japanese J League,1.43,1.62,41.83
308,307,Tigre,Argentina Primera Division,1.13,1.29,41.71
309,308,Atlético Tucumán,Argentina Primera Division,1.09,1.24,41.68
310,309,Maritimo,Portuguese Liga,1.11,1.26,41.68
311,310,Feirense,Portuguese Liga,1.0,1.13,41.66
312,311,Willem II,Dutch Eredivisie,1.56,1.78,41.58
313,313,Newell's Old Boys,Argentina Primera Division,1.11,1.27,41.47
314,314,Sanfrecce Hiroshima,Japanese J League,1.15,1.33,41.22
315,315,Philadelphia Union,Major League Soccer,1.32,1.53,41.19
316,316,Guizhou Renhe,Chinese Super League,1.15,1.33,41.17
317,317,Caykur Rizespor,Turkish Turkcell Super Lig,1.22,1.41,41.12
318,318,Lanus,Argentina Primera Division,1.12,1.3,41.11
319,319,Belgrano Cordoba,Argentina Primera Division,1.05,1.22,41.08
320,320,Dalian Aerbin,Chinese Super League,1.21,1.41,41.07
321,321,Aris Salonika,Greek Super League,1.13,1.32,41.0
322,322,C.D. Nacional,Portuguese Liga,1.18,1.38,40.93
323,323,GIF Sundsvall,Swedish Allsvenskan,1.23,1.44,40.87
324,324,Puebla,Mexican Primera Division Torneo Apertura,1.24,1.45,40.82
325,326,Reading,English League Championship,1.21,1.42,40.73
326,328,AGF Aarhus,Danish SAS-Ligaen,1.14,1.36,40.39
327,329,Desportivo Aves,Portuguese Liga,1.16,1.38,40.36
328,330,Hammarby,Swedish Allsvenskan,1.28,1.52,40.33
329,331,Atlas,Mexican Primera Division Torneo Apertura,1.09,1.31,40.13
330,332,Eupen,Belgian Jupiler League,1.4,1.68,40.06
331,333,Aldosivi,Argentina Primera Division,1.09,1.31,40.04
332,334,Videoton FC,UEFA Europa League,1.12,1.35,40.04
333,335,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.25,1.5,40.02
334,336,Tondela,Portuguese Liga,1.14,1.38,40.0
335,337,Lobos de la BUAP,Mexican Primera Division Torneo Apertura,1.16,1.41,39.86
336,338,1. FC Union Berlin,German 2. Bundesliga,1.13,1.37,39.81
337,339,Guangzhou RF,Chinese Super League,1.44,1.74,39.73
338,279,Las Palmas,Spanish Segunda Division,1.1,1.34,39.62
339,340,Los Angeles Galaxy,Major League Soccer,1.5,1.82,39.58
340,312,Sport Recife,Brasileiro Série A,1.1,1.34,39.58
341,341,FC Lugano,Swiss Raiffeisen Super League,1.28,1.56,39.58
